intersection,north,east,south,west,0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190,200,210,220,230,240,250,260,270,280,290,300,310,320,330,340,350,360,370,380,390,400,410,420,430,440,450,460,470,480,490,500,510,520,530,540,550,560,570,580,590,600,610,620,630,640,650,660,670,680,690,700,710,720,730,740,750,760,770,780,790,800,810,820,830,840,850,860,870,880,890,900,910,920,930,940,950
roundabout-quick-right,20,20,5,5,0,5,10,9.333333,5.8,7.111111,8.285714,5.166667,5.222222,11.71429,7.777778,6.625,7.375,6,11.125,19,7,6.333333,5.428571,8.636364,8.6,8.714286,9.111111,14,4.2,6.3,8.333333,6,4.1,9,9.6,8.5,5,3.666667,7.714286,7,7.875,7.8,7.181818,7.833333,8.125,6.9,7.875,6.5,5.2,11.33333,5.5,9.5,6.333333,6.714286,6.333333,7,6.285714,5.777778,7.5,5.125,5.857143,7.6,6,6.875,6.090909,6.222222,9.2,6,9,9.5,4.75,5.142857,9.625,9.363636,9.75,5.4,4.857143,8.857142,8.4,7,9.5,5.636364,7.846154,8.5,9.692307,12.71429,8.5,6.666667,7.8,4.5,5,10.33333,6.2,8,9.181818,7.444445,7.818182,9.6,8.222222,8.75
roundabout-quick-right,40,40,10,10,0,4.272727,8.5,10.47059,9.933333,11.33333,9.190476,11.7,9.1875,11.13333,8.75,9.578947,9,11,10.5625,8.941176,10.44444,11.46667,11.2,8.611111,11.82353,10.73684,10.1579,9,11.86364,13.95652,14.82143,12.30769,17.45455,18.91667,22,21.96667,20.5,24.7,25.3871,20.55882,20.6,21.58824,22.14286,23.05263,26.47368,23.19355,19.6,21.96428,23.33333,22.80556,24.73809,26.46512,32.82222,28.46667,30.5098,32.83333,36.15517,37.75,41.09524,46.42857,50.64706,53.73333,58.85333,60.4,65.12658,66.74074,67.3253,68.98901,72.48315,75.09677,82.16129,81.8022,82.30434,84.62366,92.03261,93.30434,90.82222,94.86517,99.4186,102.1023,100.5,100.989,111.7721,112.961,115.1216,117.4444,120.7123,115.8194,111.1304,111.2319,104.6575,106.6757,105.8889,99.72839,102.3846,106.0976,101.5443,101.6133,104.5789,98.61972
roundabout-quick-right,60,60,15,15,0,5.117647,8.192307,8.90625,11.90909,13.10811,14.29412,13.89474,18.375,19.375,18.60465,21.79545,24.57143,26.67924,28.50847,31.11667,32.73134,34.95522,36.86111,38.0125,40.2375,39.40698,43.16854,44.12766,42.69388,50.68478,56.32584,63.37931,67.54348,69.09473,74.41666,70.35922,71.79245,76.39639,80.5641,80.95727,80.23577,88.13223,93.392,91.67407,99.55385,101.2868,104.7,109.4444,110.3613,111.3478,114.9102,120.0366,120.9017,123.9943,118.0269,120.3838,119.9839,122.1579,122.0825,125.6131,135.0825,140.7677,148.4796,154.3367,159.955,165.315,169.0545,172.2077,174.3571,177.3208,179.4908,176.157,180.7325,177.8205,175.5851,180.1741,185.056,190.7747,194.7255,195.9098,202.0313,207.7677,209.2625,212.5313,220.3891,225.3626,231.433,234.4963,239.435,239.3321,242.1076,249.7414,252.461,260.4178,262.0465,272.2687,275.9866,271.4706,278.9838,280.3141
roundabout,20,20,5,5,0,1.666667,9.333333,6,5.4,6,8.111111,6.583333,10.14286,7.714286,4.166667,5.833333,5.666667,7.888889,8.5,8.090909,11.8,10.5,11.6,2.166667,5.75,7,8.777778,7,6.25,7.25,9.5,8.428572,4.5,5,6.125,7.384615,10.66667,6.4,7.2,9.25,9.125,7.75,7.375,6.222222,7.833333,4.714286,8.666667,9.625,4.5,7.615385,10.58333,9.444445,8.142858,7.125,6.5,8.777778,4.4,5,8.333333,5.571429,8.833333,3,9.166667,6,6,4.555555,8.375,12,2,5.285714,10.57143,7.625,8.111111,14,6.6,6,6.9,7.777778,9.125,3.5,5,6.818182,8.666667,7.75,7.25,13.57143,4.5,5.125,8.090909,5.333333,8.5,9,6.142857,4.166667,6.8,4,7.166667,6.75,6,6
roundabout,40,40,10,10,0,4.846154,8.692307,5.857143,8.285714,8.666667,6.142857,10.84615,7.833333,6.647059,8.318182,10.11111,12.76667,15.17143,16.84848,15.375,16.93333,16.39394,20.76923,15.76923,16.23077,21.17391,18.17857,20.2963,19.12903,20.39474,25.02941,28.33333,34,34.35135,38.14286,33.8125,33.63158,31.62857,37.47059,32.77778,24.97436,28.02439,34.32433,33.44444,32.07317,35.73333,37.89362,42.14583,46.64583,47.70588,54.30769,50.0566,56.7037,56.35714,49.45098,52.59615,59.12963,58.03509,54.61818,48.96667,50.30645,52.87879,54.75,58.95588,59.88889,64.55556,64.60526,65.61842,69.17722,70.04706,68.45556,72.78409,79.61905,80.09412,79.77528,73.31915,78.53261,83.83696,84.82291,89.17391,89.39362,92.97895,96.61957,102.033,110.5455,113.3763,116.7604,118.4271,121.9091,119.0686,120.1284,130.0865,128.3423,137.5,137.6161,139.0811,142.708,146.1071,154.8091,154.3889
roundabout,60,60,15,15,0,4.529412,6.636364,8.565217,10.09091,13.75676,16.02273,18.65116,19.72549,21.01887,24.20339,25.18571,31.09589,33.46988,42.82051,41.84146,45.22353,44,48.89691,50.77228,55.80374,62.26126,65.78814,67.62992,73.25,77.76428,81.40411,84.27097,90.85714,89.40252,89.23602,90.54118,94.32961,96.39891,101.3457,104.2154,107.402,112.6485,118.4363,123.599,126.3814,130.8899,131.9207,138.6079,141.9652,146.0297,152.4786,155.3306,159.4776,162.381,171.888,173.6822,175.6174,174.9559,180.2482,182.9678,183.5368,183.6473,188.5342,193.4456,196.2943,200.4732,202.1732,205.7796,207.0188,211.6914,211.97,215.1652,216.0523,213.1102,217.1102,220.3123,224.542,228.1973,230.859,235.9871,239.2214,240.255,245.908,248.2099,250.8571,256.542,262.2792,259.7203,263.7327,265.2528,270.805,275.0987,277.8495,281.3522,282.8507,287.6575,289.0063,292.6502,296.6291,298.499
traffic-lights,20,20,5,5,0,5.5,7.111111,13.4,17,26.42857,22,14.5,14.22222,22.52941,33,36.70588,17.0625,17.46667,22.47368,27.43478,27.39286,21.15,21,18.72727,23.25926,26.14815,19.75,23.52941,24.16667,25.68,27.52,20.08696,20.23809,23,29.95455,25.90909,17.92857,17.07143,25.57143,24.54545,22.91304,21.33333,16.28572,20.11111,25.28572,26.125,24.375,19.9375,25.33333,29.76191,27.63158,16.28572,24.25,32.23077,34.375,24.8125,9.176471,16.69231,19.63158,23.6087,26.30435,21.84211,24.75,25.75,26.59091,18.86364,20.375,23.73333,26.4,28.88461,30.42857,21.94737,19.77778,26.125,27.61905,26.13636,20.375,18.08333,24.63636,29.53846,23.41176,17.35714,16.52941,20.86364,32,27.96,18.77273,28,21.23529,24.04545,24.19231,16.25,21.66667,28.78947,30.4,22.87879,21.65517,22.96,31,29.61905
traffic-lights,40,40,10,10,0,5.857143,8.5,15.93333,20.55556,19.93333,20.35714,20.8,22.69388,25.68293,25.63043,24.2037,24.25,26.5,29.69231,31.33333,29.17391,26.21428,29.02273,29.76923,27.97368,27.82927,24.53846,23.31579,22.95122,25.23077,27.36364,24.6,25.80435,27.3617,28.27451,31.28814,27.58064,26.45313,32.14286,33.01563,38.10145,37.36364,37.85714,38.33871,36.10145,40.02817,43.1194,39.90625,36.40625,37.65714,37.56962,37.92308,36.8,38.57471,42.77907,45.92222,42.05263,42.82178,45.28571,50.24731,52.28431,54.36274,54.64706,56.92079,58.23301,59.64865,58.53509,57.90351,60.65487,64.95614,71.05128,74.05173,72.50435,74.99115,78.68142,82.61539,77.73276,76.36667,78.2521,75.68293,79.6875,79.45737,82.83334,86.656,91.408,96.46094,92.2093,91.02985,91.88806,91.51095,93.45517,93.91157,98.39161,101.5694,105.726,110.4834,106.2552,104.5,106.0071,108.331
traffic-lights,60,60,15,15,0,5.461538,8.615385,14,18.24324,21.91667,23.92727,24.35593,26,25,27.16901,29.21687,31.13253,31.65169,33.53191,35.33333,38.7,38.81897,42.272,44.25397,48.22481,50.09459,53.80132,53.13548,56.72612,58.97515,62.90751,66.40113,69.02825,73.3743,77.17877,82.85326,85.96296,85.14508,83.86364,86.25742,90.54977,91.47685,94.05,96.32159,100.5129,102.7085,104.5968,105.2548,106.9736,109.4307,114.1964,117.9094,119.7045,120.8446,123.8633,130.363,132.0559,135.5645,135.3398,140.0255,142.8349,144.6163,148.0879,150.2768,154.8912,160.1243,162.7458,164.7799,168.0886,170.7426,172.5953,179.2234,183.838,184.1231,188.055,192.8506,196.1671,196.5619,199.1491,199.9306,201.9559,206.108,211.174,215.3695,220.0526,223.8539,229.183,230.102,231.2709,235.1416,240.1609,245.4206,246.3092,246.7098,250.6507,255.7865,255.5761,254.9661,254.5972,259.2748
